review_id,review_rating,review
3,1,ordered two heaters both were defective i ordered one of these heaters it was broken when i received it i could see and hear a screw inside of the heater loose when i turned it on the fan did not work the heating element stopped working after being plugged in for just a few minutes and then it started smoking it didnt even turn on after that i requested a replacement heater which came a few days later the replacement heater had the same exact issues a screw was loose inside of the heater where i cannot reach it the heating element only worked for a few minutes before shutting off and the fan did not turn on additionally the second heater also started smoking as soon as the heating element turned on i will never buy this product again and you shouldnt either it is clearly very cheap craftsmanship i will be using a different brand forever and all eternity
5,1,damaged item loose rattly bits inside potentially dangerous return or exchange the heater i received is damaged or defective there is a loose small piece ratting around inside the heater which sounds to be a loose screw or broken small loose piece inside also the rectangular heating element inside is wobbly not firmly fastened or fixed in place this cant be right it makes this heater potentially dangerous to operate it could short circuit come further apart internally or jam i would not trust it not to burn down my house except for this damage or defect it appears it would be acceptableregrettably i must request return or replacement
7,2,disappointed heater just stops working i have purchased 2 of these same heaters the first one day just stopped working while in use but i gave it the benefit since i had it a little over a year and it wasnt really expensive i just keep them at my office to use when im cold so i decided to purchase another one in hope that id be able to get longer use out of the second one well i was wrong my 2nd heater was delivered in july of this year and it is only august and its been used 3 times and yep you guessed it it completely just shut off after being turned on for 3 mins the heater is in no way overheated and ive gone through your troubleshooting suggestions and of course its past the deadline for return this is disappointing
9,2,replacement for damaged one is also damaged so these heaters are pretty good but the packaging andor quality control is terrible the first one arrived completely broken as the fan was broken off inside so we asked for a refund and got another one we just received the second one to replace the damaged one and it too is damaged but not enough to affect the function of the heater the screen on the front is dented which makes it look like garbage but at least it works the boxes that both heaters came in were not damaged in shipping at all we arent bothering to return this one because it does work but we dont have time to go through the process of returning it
12,2,check it when delivered qc issues the media could not be loaded bought this in december but then we had abnormal weather so didnt need it until february when i first tried it there was no fan at all and i just figured it didnt put out much and was quiet but then one day the fan tried to start and you could tell it wasnt right please watch video of fan i was out of return window so i know i am stuck with it you can see by the picture that a screw is completely removed from factory this is poor quality control being i was passed the return window i took it apart and fixed the unit myself the screw that was loose and another screw held the fan blades center so once i replaced it everything it worked perfect the unit overall is a good one and puts out good heat you just got to try it right away to make sure you got one fully put together hope this helps
13,2,poor design and bad packing of cord causes heater base to slide on floor as a heater it is ok however the product has 2 major flaws1 it is sent with the cord folded over itself and the kinks remain in the cord no matter how much i try to smooth them out this keeps the cord tightshort in its length and 2 the cord is actually attached to that part that rotates idiocy in design and not the base so on wood laminate floor the base slidesturns away from the position you set it in even though cord is not fully extended it limits placement choicedistance from outlet and from objects in the roomwill be heading to home depotlowes to see if i can find one i had for years a black and decker this appears to be based on and once again going through the hassle of sending another product back to amazon
14,2,loved it until i didnt it stopped working i tend to hate little portable electric heaters like this because the ones ive had in the past have poor safety elements but i loved this little thing and it heated my room up so well and so quick but after just a couple weeks of having it it stopped working for no reason no falls no drops all of the outlets ive used work with everything but the heater i wouldnt leave it on when i wasnt in the room it doesnt even turn on the safety switch on the bottom looks the same as it did the day i got it so i dont think its because of that i ended up having to get a portable radiator heater instead which heats up significantly slower but its proven to last longer than this one did it was a good heater but it should last more than a couple of weeks of moderate use
15,3,ok it kicks out heat pretty gd fast but i can barely feel the air blowing out when on fan like i can with heat but i can slightly feel it cooling another thing on the turn knob from low to high it clicks onoff around the 3rd or 4th notch instead of from the 1st one idk if its suppose to be that way or wht other than that the way it quickly kicks out the heat is wht i needed for work i didnt need a fan or care about the knob as long as its not a hazard i will see how things go
17,3,theres cheaper ones with better fans it has extremely low fan speed does heat tho
20,3,loved the idea but blower didnt blow had to return i loved the size shape and features of this heater i particularly liked the controls with none of that stupid digital controls which never works right and requires a 6 page tutorial a magnifying glass to operate this one has easy manual controls yayunfortunately the blower didnt work at all on mine and so it just sat there oscillating and burning itself smelled like it was overheating within secondsi had to return it i wanted to order another but hubby didnt like the idea of that so too bad no new heater for me if i was going to get another id certainly try this one again and hope for the best there are certainly a lot of good reviews for it and its by far the best option i saw now if they can just get it to work properly id give it 5 stars
22,3,temp control sucks really the highlow dial seems to operate in an inverse relationship to the room temperature when its cold you turn up the dial and it shuts off for long periods before trying to heat for very short periods after 2 or 3 hours it will decide to start running continuously at least it keeps you from getting too much sleep lolupdate weeks later the temp control still operates in an inverse relationship after the room gets hot the heater runs continuously when the room is cold the heater runs for less than 5 minutes before shutting down for at least 30 minutesforgot to mention that this heater oscillated for about a minute when i first plugged it in but not even a jiggle since then its going back2523 turn it way down and never turn it off works to keep the bedroom at about 50f but at least you wont wake up sweating in the middle of the night
23,4,works fine good purchase experience works fine good purchase experience
28,5,excellent perfect portable size and space saving came like new though i bought it used love it
34,1,they work until they dont my husband tried making cinnamon rolls using this mat within 5 min of it being put in the preheated 375 degree oven it started smoking and melting never had a mat like this melt since it was a two pack i threw the other one away just to be safe wont buy again obviously not heat safe like they state less than a year old and they wont give me my money back but offered to send me new ones ummm no thanks not going to risk burning my house down again
38,2,weird taste the first time i used these i was so happy with how they worked i found that the cookies i made them with had an odd plastic taste though thinking i had used some flour that may have been too old i shrugged it off however i then used it to roast some vegetables on in the oven and also got the same taste i made sure when i got them delivered that i washed them well before use after the first time i used them they were washed and soaked as well i am pretty disappointed in this and am worried about what it leaking into my food
41,2,does not fit cookie sheets i should have returned these they dont fit the cookie sheet
42,2,my pizza tastes like silicone i want to like this product because of how to clean it is however my pizza tasted a taste that wont go away like silicone and my apartment smells like burnt plastic i followed the instructions in the package and washed the pad before using it maybe my bad experience is because it was my first time using the pad but i shouldnt have to destroy a pizza because of a poorly designed product i rarely write reviews but the lingering taste in my mouth says i had to stop what i was doing to let everyone know to choose something else
48,4,doesnt fit in the bottom of a standard halfsheet pan can be trimmed these silicone baking sheets can replace parchment paper or aluminum foil in most applications but not all they are good quality as far as i can tell if they last a year ill be happythe only downside is they are too large for a halfsheet pan such a pan is 16x12 measured across the topabout 15x11 measured across the base these baking sheets will not lay flat in the pan this is probably ok if you arent also using a wire rack in the sheet pan anyway they can easily be trimmed to fit i suppose thats better than being too small right
49,4,funciona bien buen producto para mantener el horno limpio
50,4,sturdy but kind of annoying to clean maybe its a user error situation but i absolutely despise cleaning these things if you have an empty sink and are just cleaning this you can brace it against the walls of the sink but if youve got a sink full of dishes its kind of a nightmare they also stain pretty quickly as ive only used each maybe 15ish times and theyre already showing a lot of wear and tear again could just come with the territory of silicon baking sheets but i feel that theyre on the cheaper side for a reason overall im happy with it but if you plan to put them through their paces expect them to start to degrade fast
52,5,was i the only one who had never heard of these ill start by saying that every kitchen needs these i dont want to think about how much ive spent on aluminum foil or parchment paper over the years i was floored when i found out that other people used these insteadi had a cookie baking day recently with my sister and tried these out for the first time on her recommendation the cookies turned out perfect and they didnt stick to the pan they are also dishwasher safe although they are a little hard to position in the dishwasher since theyre so large and floppy ive also baked chicken on one of these and it turned out incredible they fit quartersheet baking pans perfectly and theyre already one of my musthaves in the kitchen
53,5,my go to items when bakingcooking i love these these are my go tos and i am always excited to use these they are a better alternative than having to measure out parchment paper or tinfoil it saves me time and money it can be hard to wash but usually i leave in the pan and wash both at the same time so im not splashing myself around with water i would say to test batches when first cooking or baking because you may have to cook in the oven a little longer than usual a definite 1010 for me
56,1,cheap poor quality if youre considering using these baking cups id advise you to hesitate and reevaluate in my experience the material of the cups seems to either leach out some sort of substance or causes precipitates from water to deposit on its surface leaving behind a white residue that is difficult to remove this residue can even transfer to your fingers and leave them feeling oddly abrasive which is a concerning issue for a product that is intended to come into contact with food ive also noticed a slight transfer of rubber or soap odor and taste to the baked goods which could indicate that there might be impurities or contaminants in the material all of these factors combined make me hesitant to trust this product for use in baking anything intended for consumption yes these are cheap but theres a reason for that
57,1,tastes like silicon i have had no issues baking or cleaning these but every time they make the food taste like silicon my entire family has mentioned it at first i thought i didnt rinse off all the soap so i did extra rinses no luck i thought maybe my ingredients were funky so i used different ingredients it was even worse i finally made a pan of cupcakes with half in these liners and half in some disposable liners i still had left disposable liners the cupcakes were perfect 100 these liners they were disgusting im going back to disposable liners and these are going in the trash
60,1,hard to clean and tastes a little like plastic my main issue is that these are horrible to clean im not sure how everyone else seems to be so happy with them with all the nooks and crannies it such a pain to wash these every time i think im done washing and let them dry i find theres still crumbs in the cracksadditionally the cupcakes i baked taste a little plastic its not a big difference its just kinda the taste youd get from leaving food in a plastic bag for a few days ill probably go back to using normal cupcake liners
62,2,leaves funky taste on baked goods i needed to replace the silicone cupcake linersbaking cups that i had previously and thought that these amazon basics would be a good replacement the silicone baking cups were easy to clean and the cupcakes came out easily i thoroughly hand washed the baking cups and let them air dry completely before first use the silicone cups left a rubber taste on the cupcakes i thought maybe i needed to wash them again and this time let them soak a little in just plain hot water then i washed them again with dish soap and water unfortunately the cups still left behind a funky taste on the cupcakesi was very disappointed in this product and wouldnt recommend anyone to purchase these items unless they want funkytasting baked goods
63,2,i couldnt get over the rubberplastic smell i loved the idea of these silicone muffin cups you dont waste paper by using the paper muffin cups and your muffin tin wouldnt get so dirty and hard to clean unfortunately the reality was disappointing i made turkey meatloaf in the muffin pan using the silicone cups yes the muffin tin was less dirty and easier to clean but the muffin cups themselves were not so easy to clean because of the pleatsgrooves you have to use a soft brush and turn the cup inside out the deal breaker was the smell although the turkey meatloaf was cooked perfectly now i had food that smelled like rubber pretty unappetizing i forced myself to finish all the meatloaf but ended up dumping the muffin cups after that
64,2,what is this i purchased these for 2 purposes12 for baking and 12 for wax melts i used the first one in a wax melt warmer the photo shows the result they do not leak it is not wax this is what i believe is the breaking down of whatever these are made with although it comes off easily enough i feel very uneasy about using them i would never use them for baking the description does not state 100 silicone my bad i guess i am very disappointed and would never trust them to bake in is there anything leaching into the air
65,3,smaller than i thought i have not used them yet but i thought that they were bigger the regular size baking cups actually look small to me when i buy the paper or foil baking cups in stores i buy the jumbo labeled cups but they are not really jumbo the jumbo cups to me look like a regular size because they are not jumbo or big at all the cups labeled jumbo fit in the regular muffin pans and look normal according to the measurements given in the amazon add i thought these were the size of the jumbo cups of the brand i have been buying these will make muffins that look small unless you make muffins that rise a lot then you will get a big round muffin top my muffins are breakfast oat carrot raisin nut muffins they do not rise much healthy
68,3,smelltaste is off i really really wanted to love this product unfortunately after usingwashing them several times the food i bake in them still has a silicone taste that said i think these are on the right track if theres a future way to remove the smell and taste issue i saw some reviews that mentioned small portions but my experience was they are basically the same size as paper cupsheres a few tips i learned1 i read someone elses suggestion to turn them inside out while cleaning helped them clean up in a snap2 baking time took about a minute or so longer than with paper cups3 the silicone cups and therefore the product stay super hot much much longer than with paper cupsi love the idea of less trash and helping the environment i hope these can be improved upon in the future
69,3,hard to clean hard to clean so back to paper
70,4,love them but love these items but they are hard to clean out the crevices
73,4,i like these they work but the stuff always comes wierd shaped after cooking
74,5,these are wonderful i used my new silicone cup cake liners in my babycakes cupcake maker and my cup cakes came out amazing the cupcake liner is perfect in cupcake maker or oven the shape of my cupcake was so fluffy and full i rinsed off cupcake liners with soapy water and they are ready to use again the colors of liners are so pretty makes a nice display of cupcakes i really like using silicone it doesnt burn and no smell i find cup cake usually sticks to paper liners but with silicone i have a whole cupcake no sticking to silicone cupcake comes out full size i paid 5 and change for 12 cupcake liners i can easily storage these liners in a kitchen draw i recommend this item its worth the money
75,5,perfect for egg bites i was on the quest for baked egg bites for a trip and generously oiled my nonstick muffin pan the egg bites stuck and what felt like four hours later i finally got the pans clean bought these silicone baking cups after researching several kinds and im so glad i did they washed easily baked easily my egg bites popped right out looking so fine and pretty and nothing stuck on so was a simple clean up once again i havent tried muffins or cupcakes yet but i cant imagine they wouldnt do well i will also use these as dividers when i pack snacks and lunches im not one who likes different foods to touch and this also makes my lunch colorful and pretty absolutely reccommend
76,5,versatile i bought these for muffins initially they are the same size as the disposable muffin liners i think they might be a little talleri have bought more for outside my kitchen and i use them for many other things i put them inside my wax warmer so the wax is easy to clean i take the one full of wax out put in a new one with new wax and wait for the first to harden it just pops out after that i have used them to make home made mallo cups i used one as an ashtray once plus they are super cute
