review_id,product_id,review_rating,review_title,review_body,ft_type_100,tokens,gpt,llama,ft_gpt_100,ft_llama_100,ft_bert_adam_100,ft_bert_adamw_100,ft_bert_sgd_100,ft_roberta_adam_100,ft_roberta_adamw_100,ft_roberta_sgd_100,ft_type_50,ft_gpt_50,ft_llama_50,ft_bert_adam_50,ft_bert_adamw_50,ft_bert_sgd_50,ft_roberta_adam_50,ft_roberta_adamw_50,ft_roberta_sgd_50
28,1,5,excellent,perfect portable size and space saving came like new though i bought it used love it,test,18,5,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
38,2,2,weird taste,the first time i used these i was so happy with how they worked i found that the cookies i made them with had an odd plastic taste though thinking i had used some flour that may have been too old i shrugged it off however i then used it to roast some vegetables on in the oven and also got the same taste i made sure when i got them delivered that i washed them well before use after the first time i used them they were washed and soaked as well i am pretty disappointed in this and am worried about what it leaking into my food,test,112,2,1,1,1,1,1,5,2,3,5,test,1,1,1,1,2,2,1,2
57,3,1,tastes like silicon,i have had no issues baking or cleaning these but every time they make the food taste like silicon my entire family has mentioned it at first i thought i didnt rinse off all the soap so i did extra rinses no luck i thought maybe my ingredients were funky so i used different ingredients it was even worse i finally made a pan of cupcakes with half in these liners and half in some disposable liners i still had left disposable liners the cupcakes were perfect 100 these liners they were disgusting im going back to disposable liners and these are going in the trash,test,112,1,1,1,1,1,1,5,1,1,5,test,1,1,1,1,2,1,1,2
63,3,2,i couldnt get over the rubberplastic smell,i loved the idea of these silicone muffin cups you dont waste paper by using the paper muffin cups and your muffin tin wouldnt get so dirty and hard to clean unfortunately the reality was disappointing i made turkey meatloaf in the muffin pan using the silicone cups yes the muffin tin was less dirty and easier to clean but the muffin cups themselves were not so easy to clean because of the pleatsgrooves you have to use a soft brush and turn the cup inside out the deal breaker was the smell although the turkey meatloaf was cooked perfectly now i had food that smelled like rubber pretty unappetizing i forced myself to finish all the meatloaf but ended up dumping the muffin cups after that,test,157,2,1,2,1,2,2,5,2,3,5,test,2,1,2,2,2,3,2,2
69,3,3,hard to clean,hard to clean so back to paper,test,10,1,1,3,1,2,2,5,2,3,5,test,1,1,1,1,2,2,3,2
70,3,4,love them but,love these items but they are hard to clean out the crevices,test,17,4,3,4,3,4,4,5,3,3,5,test,4,3,4,4,2,4,4,2
74,3,5,these are wonderful,i used my new silicone cup cake liners in my babycakes cupcake maker and my cup cakes came out amazing the cupcake liner is perfect in cupcake maker or oven the shape of my cupcake was so fluffy and full i rinsed off cupcake liners with soapy water and they are ready to use again the colors of liners are so pretty makes a nice display of cupcakes i really like using silicone it doesnt burn and no smell i find cup cake usually sticks to paper liners but with silicone i have a whole cupcake no sticking to silicone cupcake comes out full size i paid 5 and change for 12 cupcake liners i can easily storage these liners in a kitchen draw i recommend this item its worth the money,test,149,5,5,5,5,5,5,5,5,5,5,test,5,5,5,5,2,5,5,2
90,4,4,not happy,i used this product to store bedding items and 2 of the bags are not working properly items are well below the fill line but do not stay flat the few bags ive used have stayed flat i would return them but its not worth the hassle of redoing all what ive done already the two bags may just be a fluke but i do recommend this item cuz they do save on space in the extra large jumbo one i fit a queen comforter 2 pillows a queen size plush blanket and 2 sets of bedsheets flat sheet fitted sheet and pillow case wow,test,115,3,2,3,4,1,3,5,2,3,5,test,3,4,2,2,2,3,2,2
102,5,2,pillow feels rough,this pillow case is not soft and ill have to replace it,test,16,2,1,2,2,2,2,5,2,3,5,test,2,2,2,2,2,2,1,2
117,5,4,nice color,my 9 year old grandson found these easy to put on his new pillows,test,17,4,4,5,4,4,4,5,4,4,5,test,5,4,5,5,2,5,5,2
